County,LAT,LON,Event,date,Place,Deaths†,Injured†,Missing†,Houses Destroyed†,Houses Damaged†,Victims†,Affected†,Relocated†,Evacuated†,Damages in crops Ha.†,Comments
KIAMBU,-1.142236267,36.62749723,DROUGHT,8/3/2009,Ndeiya,,,,,,,14000,,,,
KIAMBU,-1.142236267,36.62749723,FLOOD,4/30/2013,Limuru,,,,,,,300,300,,,"Residential areas were flooded,there was a threat of land slides and river water pollution. 45 more households were also at risk.Relief food was[...]"
KIAMBU,-1.126057426,37.02810163,DROUGHT,1/3/2011,,,,,,,,42964,,,,
KIAMBU,-1.126057426,37.02810163,DROUGHT,1/3/2011,Ruiru,,,,,,,42946,,,,Crop production reduced and there was scarcity for livestock forage
KIAMBU,-1.126057426,37.02810163,EPIDEMIC,10/11/2009,Ruiru,5,,,,,,4,,,,
KIAMBU,-1.126057426,37.02810163,FLOOD,4/30/2013,Ruiru,1,,,,,,,,,,"Roads and bridges were damaged, markets were made muddy, health centres were flooded and electricity lines were fell.Repair of damaged infra[...]"
KIAMBU,-1.126057426,37.02810163,DROUGHT,1/8/2009,,,,,,,,,,,,
NAROK,-1.088275662,36.11787346,FLOOD,12/28/2009,Suswa area,3,,,,,,385,,,,There was massive destruction of drainage systems
NAROK,-1.088275662,36.11787346,FLOOD,1/7/2010,Mau,,,,,,,,,,,
MIGORI,-1.066215874,34.4869989,EPIDEMIC,1/1/2009,Suba,2,,,,,,3,,,,Incidences of cholera were reported as from January to June 2009
KIAMBU,-1.056557964,37.16911028,DROUGHT,4/3/2011,Thika West,,,,,,,60000,,,,
KIAMBU,-1.056557964,37.16911028,FLOOD,4/30/2013,near BIDCO,,,,,,,25165,,,1437,"Railway closing was destroyed,potholes were created in the central business district, wide areas were submerged. Digging of trenches to drain the[...]"
KIAMBU,-1.056557964,37.16911028,DROUGHT,1/3/2011,Thika East,,,,,,,23362,,,,
KIAMBU,-1.056557964,37.16911028,DROUGHT,1/3/2011,Thika East District,,,,,,,,,,,
KIAMBU,-1.04794128,36.78517316,DROUGHT,4/3/2011,Kiambu West,,,,,,,45000,,,,
KIAMBU,-1.04794128,36.78517316,DROUGHT,4/3/2011,,,,,,,,7500,,,,
KIAMBU,-1.04794128,36.78517316,DROUGHT,4/3/2011,Kiambu East,,,,,,,6000,,,,
KIAMBU,-1.04794128,36.78517316,FLOOD,4/30/2013,Kiambu Sub-County,,,,,,,1075,1075,,,"215 households,a police and chief post were affected,families living downstream were exposed to risk of waterborne diseases. Families and the police[...]"
KIAMBU,-1.04794128,36.78517316,FLOOD,5/16/2010,Kwari Village,,,,2,,,,,,,
KIAMBU,-1.04794128,36.78517316,FLOOD,4/30/2013,Githunguri,290,,,,,,,,,,"Roads were made impasssible, food crops affected, risks of malaria outbreak anticipated and livestock were lost."
KIAMBU,-1.04794128,36.78517316,FLOOD,5/14/2002,,1,,,,,,,,,,
NAROK,-1.040413706,34.85247807,FLOOD,4/4/2013,Masurura,1,1,,,,,,,,,One victim by name Mohammed Farah was rescued.
NAROK,-1.040413706,34.85247807,THUNDERSTORM,3/9/2011,Olalui Farm,1,,,,,,,,,,
KITUI,-1.023929839,38.55139378,DROUGHT,1/5/2010,MUTYANGOMBE,,,,,,,,,,,
KITUI,-1.023929839,38.55139378,DROUGHT,1/5/2010,WINGEMI,,,,,,,,,,,
KITUI,-1.023929839,38.55139378,DROUGHT,5/1/2010,NUU,,,,,,,,,,,
KITUI,-1.023929839,38.55139378,DROUGHT,1/5/2010,MUI,,,,,,,,,,,
KITUI,-1.023929839,38.55139378,DROUGHT,1/5/2010,KALITINI,,,,,,,,,,,
NAROK,-1.005978163,35.44630551,FLOOD,3/4/2013,Narok south,10,,2,,,,,,,,
NAROK,-1.005978163,35.44630551,FLOOD,4/3/2013,Ololunga Narok South,10,,2,,,,,,,,Need for an equipped search and resque
NAROK,-1.005978163,35.44630551,FLOOD,7/6/2013,Ole Polos river,1,,,,,,,,,,The deceased body traced 500 metres away.
KITUI,-0.985261207,37.94064281,DROUGHT,1/8/2009,"Kyome, Thaluni village",,,,,,,,,,,
KITUI,-0.985261207,37.94064281,DROUGHT,1/5/2010,Migwani,,,,,,,,,,,
KITUI,-0.985261207,37.94064281,DROUGHT,1/5/2010,NZAUNI,,,,,,,,,,,
KITUI,-0.985261207,37.94064281,DROUGHT,1/5/2010,THITANI,,,,,,,,,,,
KITUI,-0.985261207,37.94064281,DROUGHT,1/5/2010,NGUUTANI,,,,,,,,,,,
KITUI,-0.985261207,37.94064281,DROUGHT,1/5/2010,KYOME,,,,,,,,,,,
KIAMBU,-0.984128065,37.20334383,DROUGHT,9/10/2009,Kakuzi,,,,,,,,,,,
KIAMBU,-0.982753903,36.84079276,DROUGHT,8/2/2009,Gatundu South,,,,,,,39794,,,,
KIAMBU,-0.982753903,36.84079276,DROUGHT,4/3/2011,Gatundu North,,,,,,,23081,,,,
KIAMBU,-0.982753903,36.84079276,DROUGHT,4/3/2011,,,,,,,,8338,,,,
KIAMBU,-0.982753903,36.84079276,DROUGHT,1/3/2011,Kieni Huruma IDP camp,,,,,,,,,,,803 Households affected
KIAMBU,-0.982753903,36.84079276,DROUGHT,1/3/2011,Mangu Integrated IDPs,,,,,,,,,,,359 Families affected
KIAMBU,-0.982753903,36.84079276,EXTREME RAINS,6/30/2012,Gatundu,,,,,,,,,,,"Amount of food required maize 76000,beans 46000,rice 25340 and oil 90090."
KIAMBU,-0.982753903,36.84079276,FLOOD,4/30/2013,Gatundu north,,,,,,,,,,,"food crops were swept, earth roads were made impassable, culverts destroyed, swamps were flooded, water projects were damaged, IDP camps and[...]"
NAROK,-0.982478387,35.82108478,FLOOD,12/28/2009,Narok Suswa area,,,,,,,385,,,,drainage destroyed
NAROK,-0.982478387,35.82108478,FLOOD,12/28/2009,,,,,,,,385,,,,
NAROK,-0.982478387,35.82108478,FLOOD,12/28/2009,Narok Town,,,,,,,215,,,,
NAROK,-0.982478387,35.82108478,FLOOD,12/28/2009,Narok Town,,,,,,,215,,,,drainage systems destroyed
NAROK,-0.982478387,35.82108478,FLOOD,12/28/2009,,,,,,,,215,,,,
NAROK,-0.982478387,35.82108478,FLOOD,4/13/2013,Nairage Ngare,,,,,,,100,,,,20 families camped at Sintakara primary school.
NAROK,-0.982478387,35.82108478,FLOOD,3/4/2013,Naikara area,1,1,,,,,,,,,The two pupils were from Leshuta primary schoool.
NAROK,-0.982478387,35.82108478,FLASH FLOOD,6/1/2010,Oloipito,,,,75,,,,,,,60 Households were displaced
NAROK,-0.982478387,35.82108478,FLOOD,7/4/2010,Olasit Trading Center - Suswa Bridge,5,,,,,,,,,,A vehicle carrying 5 passengers was swept away killing all the occupants
NAROK,-0.982478387,35.82108478,FLOOD,12/28/2009,Kajiado North,3,,,,,,,,,,drainage destroyed
NAROK,-0.982478387,35.82108478,FLASH FLOOD,12/24/2009,Narok Town,1,,,,,,,,,,
NAROK,-0.982478387,35.82108478,FLOOD,9/12/2009,,1,,,,,,,,,,property of unknown value destroyed
NAROK,-0.982478387,35.82108478,FLOOD,12/24/2009,Nairobi - Kisii road,1,,,,,,,,,,
NAROK,-0.982478387,35.82108478,FLOOD,7/4/2013,mulot,1,,,,,,,,,,body retrieved to Longisa district mortuary.
NAROK,-0.982478387,35.82108478,DROUGHT,1/3/2011,Narok North,,,,,,,,,,,
NAROK,-0.982478387,35.82108478,DROUGHT,1/8/2009,Narok South,,,,,,,,,,,
MIGORI,-0.968971612,34.23950854,FLOOD,4/26/2006,Kabuto,4,,,,,,3000,107,,,
MIGORI,-0.968971612,34.23950854,FLOOD,8/4/2013,Kuboya and Winching,1,,,,,,215,,,,There was need for food and non-food items. Some of the affected camped in relatives' homes while some camped at Korua secondary school
MIGORI,-0.968971612,34.23950854,FLOOD,1/5/2009,"Onyodhi village - Bala, Lwanda Konyango Trading Centre",,,,177,,,,,,,
MIGORI,-0.968971612,34.23950854,DROUGHT,1/3/2011,,,,,,,,,,,,
MIGORI,-0.968971612,34.23950854,DROUGHT,1/3/2011,,,,,,,,,,,,
TANA RIVER,-0.968450022,39.42713482,FLOOD,7/5/2013,Bura,,,,,,,4000,,,,"Relief food, medication and other non-food items were provided to the victims who camped in Morokani, Shikaad, Dalagu, Furaha and Mororo."
TANA RIVER,-0.968450022,39.42713482,FLOOD,4/30/2013,Tana North District,,,,,,,584,,,,Relief was given as the victims waited for the situation to normalise.
TANA RIVER,-0.968450022,39.42713482,FLOOD,4/13/2013,Tana River,,,,,,,225,,,,"The displaced people were integrated into the community. Main roads and feeder roads were affected, Hola Waldena bridge was broken."
TANA RIVER,-0.968450022,39.42713482,FLOOD,3/21/2010,Holo Village - Hilima,,,,25,,,70,,,,
TANA RIVER,-0.968450022,39.42713482,FLOOD,5/21/2010,Kiendeni Village,,,,30,,,,,,18,
TANA RIVER,-0.968450022,39.42713482,FLOOD,1/3/2012,,,,,,,,,,,,
TANA RIVER,-0.968450022,39.42713482,DROUGHT,1/4/2010,Bura,,,,,,,,,,,
TANA RIVER,-0.968450022,39.42713482,FLOOD,3/21/2010,Chwele,,,,,,,,,,,
TANA RIVER,-0.968450022,39.42713482,FLOOD,5/21/2010,Safeje,,,,,,,,,,,
MACHAKOS,-0.946524021,37.65089408,DROUGHT,9/2/2011,,,,,,,,,,,,
MACHAKOS,-0.946524021,37.65089408,DROUGHT,1/8/2009,Masinga,,,,,,,,,,,
MACHAKOS,-0.946524021,37.65089408,DROUGHT,1/4/2010,MASINGA,,,,,,,,,,,
KITUI,-0.924310518,38.06149502,DROUGHT,9/3/2011,,,,,,,,130000,,,,
KITUI,-0.924310518,38.06149502,FLOOD,5/13/2010,,,,,,,,24,,,,The water level of river Tana around Mwingi raised marooning 24 people who were conducting farming activities on the islands in the area
KITUI,-0.924310518,38.06149502,DROUGHT,1/8/2009,,,,,,,,,,,,
KITUI,-0.924310518,38.06149502,DROUGHT,1/5/2010,MUMBUNI,,,,,,,,,,,
KITUI,-0.924310518,38.06149502,DROUGHT,1/5/2010,NZELUNI,,,,,,,,,,,
KITUI,-0.924310518,38.06149502,DROUGHT,1/5/2010,KAVUVWANI,,,,,,,,,,,
KITUI,-0.924310518,38.06149502,DROUGHT,1/5/2010,KYETHANI,,,,,,,,,,,
KITUI,-0.924310518,38.06149502,DROUGHT,1/5/2010,KIOMO,,,,,,,,,,,
KITUI,-0.924310518,38.06149502,DROUGHT,1/5/2010,KIUSYANI,,,,,,,,,,,
KITUI,-0.924310518,38.06149502,DROUGHT,1/5/2010,KASTEN,,,,,,,,,,,
KITUI,-0.924310518,38.06149502,DROUGHT,9/3/2011,Mwingi East,,,,,,,,,,,
KITUI,-0.924310518,38.06149502,DROUGHT,9/3/2011,Mwingi West,,,,,,,,,,,
KITUI,-0.924310518,38.06149502,DROUGHT,1/8/2009,Mwingi East,,,,,,,,,,,
KIAMBU,-0.914132949,36.81761041,FLOOD,4/30/2013,Ngoriba/Munyu,,,,,,,,,,75,"Crop fields and grazing grounds were submerged, drinking water sources roads and pit latrines were affected."
KIAMBU,-0.910321607,36.68112779,FLOOD,4/30/2013,Lari Sub-County,,,,,,,5885,,,,"Houses were destroyed,roads washed away and crops swept away. Road rehabilitation was urgently needed due to clogging,culvert installation on feeder[...]"
KIAMBU,-0.910321607,36.68112779,DROUGHT,4/3/2011,,,,,,,,4600,,,,
KIAMBU,-0.910321607,36.68112779,FLOOD,9/5/2012,"Nyanduma location,Matathia location,",,,,,,,135,,,,bridge destroyed and a road
KIAMBU,-0.910321607,36.68112779,MUDSLIDE,4/26/2013,Magina and Kijabe locations,3,,,,,,80,,,,"Three children aged 9,6 and 4 years were killed,16 families were displaced and camped at chiefs camp and given relief food and nonfood items."
KIAMBU,-0.910321607,36.68112779,FOREST FIRE,3/21/2009,Kinale,,,,,,,,,,100,Indigenous forest burned down
KISII,-0.901826001,34.66245343,LANDSLIDE,4/14/2013,"Bogichoncho, Nyasasa and Kabiero villages",,,,,,,1000,,,,"Crops and houses were destroyed, the affected families camped at Riamenya,Bogichoncho and Nyasasa primary schools."
KISII,-0.901826001,34.66245343,EPIDEMIC,1/1/2009,Gucha,1,,,,,,1,,,,Incidences of cholera were reported as from January to June 2009
KISII,-0.883603782,34.84166141,DROUGHT,4/26/2009,Bassi Borabu - Bokimweri,,,,,,,,,,,
MURANG'A,-0.877816822,36.98958778,DROUGHT,3/4/2009,,,,,,,,1092,,,,
MURANG'A,-0.877816822,36.98958778,MUDSLIDE,4/30/2013,kandara,,,,,,,,,,,"Two homesteads were damaged,crops washed away, occurrence of linear cracks,3 classrooms sank by about 40 cm, desposition of thick layer of red[...]"
MIGORI,-0.8726228,34.54325741,FLOOD,4/3/2012,RAPOGI AREA,2,,,,,,,,,,
SIAYA,-0.8726228,34.54325741,EPIDEMIC,1/1/2007,,,,,,,,,,,,
SIAYA,-0.8726228,34.54325741,EPIDEMIC,1/6/1997,,,,,,,,,,,,
SIAYA,-0.8726228,34.54325741,EPIDEMIC,1/11/1997,,,,,,,,,,,,
SIAYA,-0.8726228,34.54325741,EPIDEMIC,3/31/2008,,,,,,,,,,,,NUMBERS TO BE CONFIRMED
MURANG'A,-0.871667612,37.19075058,DROUGHT,8/3/2009,Kambiti location,,,,,,,8000,,,,
MURANG'A,-0.871667612,37.19075058,FLOOD,4/30/2013,makuyu,,,,,,,496,,,,crops were damaged by floods and homes affected.
MURANG'A,-0.871667612,37.19075058,FLOOD,4/4/2010,Thangira,1,,,2,,,,,,,Two houses were submerged in flood waters
NAKURU,-0.85733368,36.35287178,FLOOD,1/1/2010,,3,,,509,,,509,,,,
NAKURU,-0.85733368,36.35287178,FLOOD,1/1/2010,,3,,,,,,509,,,,
NAKURU,-0.85733368,36.35287178,EPIDEMIC,1/1/2009,Naivasha,4,,,,,,5,,,,Incidences of cholera were reported as from January to June 2009
NAKURU,-0.85733368,36.35287178,FOREST FIRE,3/21/2009,Eburu Forest,,,,,,,,,,800,Indigenous forest burned down
NAKURU,-0.85733368,36.35287178,DROUGHT,1/3/2011,,,,,,,,,,,,
NAKURU,-0.85733368,36.35287178,DROUGHT,1/8/2009,,,,,,,,,,,,
NAKURU,-0.85733368,36.35287178,EPIDEMIC,9/4/2008,,,,,,,,,,,,
KIAMBU,-0.838599723,36.86714494,DROUGHT,3/3/2009,,,,,,,,235361,,,,
KIAMBU,-0.838599723,36.86714494,DROUGHT,4/3/2011,,,,,,,,50892,,,,
KIAMBU,-0.838599723,36.86714494,DROUGHT,4/3/2011,Thika East,,,,,,,23362,,,,
KIAMBU,-0.838599723,36.86714494,FLOOD,5/14/2002,,1,,,,,,,,,,
KIAMBU,-0.838599723,36.86714494,DROUGHT,9/3/2011,,,,,,,,,,,,
KIAMBU,-0.838599723,36.86714494,DROUGHT,1/4/2010,Gatanga,,,,,,,,,,,
KIAMBU,-0.838599723,36.86714494,DROUGHT,1/8/2009,Thika West,,,,,,,,,,,
KIAMBU,-0.838599723,36.86714494,DROUGHT,1/8/2009,Thika East,,,,,,,,,,,
KIAMBU,-0.838599723,36.86714494,FLOOD,1/3/2012,,,,,,,,,,,,
KIAMBU,-0.838599723,36.86714494,FLOOD,4/30/2013,Gatundu,,,,,,,,,,,Roads sections and bridges washed away.
EMBU,-0.817848251,37.46802491,DROUGHT,1/8/2009,Karaba,,,,,,,,,,,
EMBU,-0.817848251,37.46802491,DROUGHT,1/8/2009,Wachoro,,,,,,,,,,,
EMBU,-0.817848251,37.46802491,DROUGHT,1/8/2009,Riakanau,,,,,,,,,,,
MIGORI,-0.816703825,34.58963159,EPIDEMIC,1/1/2009,Rongo,2,,,,,,4,,,,Incidences of cholera were reported as from January to June 2009
MURANG'A,-0.815891304,36.98737235,FLOOD,5/14/2002,,1,,,,,,,,,,
NAROK,-0.808738022,35.49028587,FLOOD,7/4/2013,Mulot,1,,,,,,,,,,
MIGORI,-0.807763364,34.17850424,FLOOD,5/14/2002,,1,,,,,,,,,,
MIGORI,-0.807763364,34.17850424,DROUGHT,1/3/2011,,,,,,,,,,,,
MIGORI,-0.807763364,34.17850424,FLOOD,1/3/2012,,,,,,,,,,,,
MIGORI,-0.807763364,34.17850424,EPIDEMIC,3/31/2008,,,,,,,,,,,,Numbers to be confirmed
KITUI,-0.805264644,38.55793323,DROUGHT,1/5/2010,UKASI,,,,,,,,,,,
NYANDARUA,-0.774518836,36.62900856,EXTREME RAINS,6/30/2012,South,,,,,,,,,,,"A mount of food required beans 5oo,rice 5oo and oil 500."
MURANG'A,-0.751858591,36.86800498,DROUGHT,3/4/2011,,,,,,,,,,,,
MURANG'A,-0.751858591,36.86800498,FLOOD,4/30/2013,kigumo,,,,,,,,15,,0.75,"Fish ponds, food crops and tea crops were swept away. A number of roads were also damaged."
MURANG'A,-0.737555204,36.98205783,DROUGHT,1/3/2011,,,,,,,,20175,,,,
MURANG'A,-0.737555204,36.98205783,DROUGHT,4/3/2011,,,,,,,,20000,,,,
MURANG'A,-0.737555204,36.98205783,MUDSLIDE,1/10/2009,Murarandia location,1,,,,,,,,,,
KISII,-0.705991932,34.82410979,FLOOD,1/14/2010,Kisii South,,,,,,,120,,,,
KISII,-0.705991932,34.82410979,FLOOD,8/18/2009,Riakworo High School,,,,,,,6,,,,
KISII,-0.705991932,34.82410979,LANDSLIDE,5/18/2010,Nyamisieka and Chinche villages,,,,37,,,,,,6,
KISII,-0.705991932,34.82410979,FLOOD,5/14/2002,,1,,,,,,,,,,
KISII,-0.705991932,34.82410979,EPIDEMIC,3/31/2008,,,,,,,,,,,,Numbers to be confirmed
MURANG'A,-0.69627556,37.14219506,DROUGHT,8/3/2009,,,,,,,,76049,,,,
NYAMIRA,-0.693120736,35.02074175,EPIDEMIC,3/31/2008,,,,,,,,,,,,Numbers to be confirmed 
MURANG'A,-0.691825513,36.96287956,DROUGHT,4/3/2011,,,,,,,,5600,,,,
MURANG'A,-0.691825513,36.96287956,LANDSLIDE,1/10/2009,Kiruri location,,,,,,,,,,,
EMBU,-0.682509152,37.64769177,DROUGHT,1/8/2009,Kiambere,,,,,,,,,,,
HOMA BAY,-0.672433932,34.35993869,THUNDERSTORM,3/7/2011,Royam Village,1,1,,,,,,,,,
HOMA BAY,-0.672433932,34.35993869,DROUGHT,1/3/2011,,,,,,,,,,,,
KIRINYAGA,-0.659670962,37.36372604,FLOOD,4/30/2013,Mwea East,1,,,,,,10672,10672,,,"Sensitization was done through barazas, residents were moved to higher areas and the affected were provided with relief in form of maize, beans,[...]"
KIRINYAGA,-0.659670962,37.36372604,FLOOD,11/15/2011,at Riagicheru sub location,1,,,,,,,,,,
KISII,-0.658290258,34.69555016,DROUGHT,4/26/2009,"Iyabe, Bokeira - Kanyimbo Village",,,,,,,,,,,
NYAMIRA,-0.649129082,34.94000426,DROUGHT,5/13/2009,"Rigoma, Borabu, Ekerenyo",,,,,,,24076,,,,
NYAMIRA,-0.649129082,34.94000426,THUNDERSTORM,7/4/2013,Miruka location,1,,,,,,,,,,body removed to Nyamira district hospital mortuary.
MURANG'A,-0.648520917,36.77203041,DROUGHT,8/3/2009,Muranga South,,,,,,,109000,,,,
MURANG'A,-0.648520917,36.77203041,DROUGHT,8/3/2009,Muranga North,,,,,,,88000,,,,
MURANG'A,-0.648520917,36.77203041,DROUGHT,4/3/2011,Muranga East,,,,,,,42274,,,,
MURANG'A,-0.648520917,36.77203041,DROUGHT,1/3/2011,Murang'a South,,,,,,,32317,,,,
MURANG'A,-0.648520917,36.77203041,DROUGHT,4/3/2011,Muranga South,,,,,,,32000,,,,
MURANG'A,-0.648520917,36.77203041,FLOOD,5/14/2002,,6,4,,,,,,,,,
MURANG'A,-0.648520917,36.77203041,FLOOD,3/11/2009,Muranga East and West,1,,,2,,,,,,,
MURANG'A,-0.648520917,36.77203041,FLOOD,11/13/2008,Giko village,1,,,,,,,20,,,20 families relocated
MURANG'A,-0.648520917,36.77203041,DROUGHT,9/3/2011,,,,,,,,,,,,
MURANG'A,-0.648520917,36.77203041,DROUGHT,1/8/2009,Muranga East,,,,,,,,,,,
MURANG'A,-0.648520917,36.77203041,LANDSLIDE,4/30/2013,Kiambuthia Sub-location,,,,,,,,,,,A landslide occured adjacent to Kiru Tea Factory. A wide crack and a depression developed on Kiria-ini -Kangema road posing danger to motorists.
NYANDARUA,-0.639908835,36.69121948,DROUGHT,1/8/2009,Nyandarua North,,,,,,,50000,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,1/8/2009,Nyandarua Central,,,,,,,44932,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,1/3/2011,Nyandarua North,,,,,,,44524,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,3/4/2011,Nyandarua North,,,,,,,35000,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,8/3/2009,Nyandarua North,,,,,,,26533,,,,13000 of the affected population is made up of IDPs
NYANDARUA,-0.639908835,36.69121948,DROUGHT,8/3/2009,Nyandarua South,,,,,,,22592,,,,the affected population is made up of IDPs - Internally displaced persons
NYANDARUA,-0.639908835,36.69121948,DROUGHT,1/3/2011,Kahutha Location,,,,,,,18996,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,4/3/2011,Nyandarua central,,,,,,,16660,,,,16660 families affected
NYANDARUA,-0.639908835,36.69121948,DROUGHT,1/3/2011,NYANDARUA SOUTH,,,,,,,15000,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,4/3/2011,Nyandarua South,,,,,,,15000,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,3/4/2011,Nyandarua West,,,,,,,6400,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,3/4/2011,Kinangop,,,,,,,4500,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,3/4/2011,Mirangine - Nyandarua North,,,,,,,3950,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,1/3/2011,Kiriita location,,,,,,,3831,,,,
NYANDARUA,-0.639908835,36.69121948,FLOOD,3/1/2010,,,,,35,,,175,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,1/3/2011,,,,,,,,,,,,Losses Sheep - 23112 Goats - 20824 Poultry - 59152
NYANDARUA,-0.639908835,36.69121948,DROUGHT,9/3/2011,,,,,,,,,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,1/3/2011,,,,,,,,,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,1/8/2009,Kinangop,,,,,,,,,,,
NYANDARUA,-0.639908835,36.69121948,DROUGHT,1/8/2009,Nyandarua South,,,,,,,,,,,
MURANG'A,-0.638975023,36.9677687,DROUGHT,3/4/2011,,,,,,,,10527,,,,
MURANG'A,-0.638975023,36.9677687,LANDSLIDE,7/11/2008,Gikoe village,1,,,1,,,11,,,,A juvenile was buried by soil mass in the house she was sleeping in.
MURANG'A,-0.638975023,36.9677687,LANDSLIDE,1/5/2009,Gikoe village - Njumbi,1,,,5,,,,,,,"5 Households were affected, 20 families evacuated"
MURANG'A,-0.638975023,36.9677687,FLOOD,4/30/2013,kAHURO,,,,,,,,,,,Houses a bridge and cow sheds were damaged. Toilets were submerged
HOMA BAY,-0.59507578,34.20189514,DROUGHT,1/3/2011,,,,,,,,,,,,
EMBU,-0.588397176,37.73450102,FLOOD,1/1/2010,Kiritiri-Karimari road,,,,,,,,,,,
EMBU,-0.588397176,37.73450102,FLOOD,1/12/2009,Iriaitune-Kikumiro-Wango road,,,,,,,,,,,
EMBU,-0.588397176,37.73450102,FLOOD,1/12/2009,Kauringwa-Karerema road,,,,,,,,,,,
EMBU,-0.588397176,37.73450102,FLOOD,1/12/2009,Muchonoke-Mutus road,,,,,,,,,,,
EMBU,-0.588397176,37.73450102,DROUGHT,1/8/2009,Mutitu,,,,,,,,,,,
KITUI,-0.578178587,38.55303877,DROUGHT,4/26/2009,"Ikime, Ngomeni village",,,,,,,,,,,
NYERI,-0.577948615,37.07631395,DROUGHT,10/3/2011,,,,,,,,18000,,,,
NYERI,-0.577948615,37.07631395,LANDSLIDE,5/5/2010,,2,,,,,,100,,,,150 Households were evacuated
NYERI,-0.577948615,37.07631395,DROUGHT,1/8/2009,,,,,,,,,,,,
NYERI,-0.577948615,37.07631395,DROUGHT,8/3/2009,,,,,,,,,,,,
HOMA BAY,-0.577404303,34.48232572,EPIDEMIC,1/1/2009,Homa Bay,3,,,,,,45,,,,Incidences of cholera were reported as from January to June 2009
HOMA BAY,-0.577404303,34.48232572,FLOOD,6/5/2010,River Arujo,2,,,,,,,,,,
HOMA BAY,-0.577404303,34.48232572,FLOOD,1/3/2012,,,,,,,,,,,,
HOMA BAY,-0.577404303,34.48232572,EPIDEMIC,3/31/2008,,,,,,,,,,,,Numbers to be confirmed
KISII,-0.564621438,34.81740702,DROUGHT,4/26/2009,"Mwamonari, Rioma - Manyakundi Village",,,,,,,,,,,
NYANDARUA,-0.555957441,36.56170374,DROUGHT,1/3/2011,,,,,,,,,,,,
KIRINYAGA,-0.550736477,37.21905657,DROUGHT,8/3/2009,,,,,,,,50000,,,,
KIRINYAGA,-0.550736477,37.21905657,LANDSLIDE,3/5/2006,Kiangai Village,,,,1,,,7,,,,7 families were affected by the landslide
NYERI,-0.550196994,36.90339644,DROUGHT,8/3/2009,,,,,,,,,,,,
KITUI,-0.539187878,38.23681624,DROUGHT,9/3/2011,,,,,,,,,,,,
KITUI,-0.539187878,38.23681624,DROUGHT,1/8/2009,,,,,,,,,,,,
EMBU,-0.53351673,37.4915843,DROUGHT,1/3/2011,Embu East,,,,,,,46100,,,,
EMBU,-0.531642146,37.59966657,DROUGHT,1/3/2011,Mbeere North,,,,,,,59048,,,,
EMBU,-0.531642146,37.59966657,DROUGHT,1/3/2011,Mbeere South,,,,,,,49682,,,,
EMBU,-0.531642146,37.59966657,FLOOD,5/14/2002,,6,,,,,,,,,,
KIRINYAGA,-0.511982367,37.30372319,DROUGHT,8/3/2009,,,,,,,,164023,,,,
KIRINYAGA,-0.511982367,37.30372319,DROUGHT,3/4/2011,Kirinyaga South,,,,,,,55031,,,,
KIRINYAGA,-0.511982367,37.30372319,DROUGHT,4/3/2011,Kirinyaga East,,,,,,,24934,,,,
KIRINYAGA,-0.511982367,37.30372319,DROUGHT,1/3/2011,,,,,,,,22671,,,,
KIRINYAGA,-0.511982367,37.30372319,FLOOD,5/14/2002,Kerugoya,1,,,,,,,,,,
KIRINYAGA,-0.511982367,37.30372319,LANDSLIDE,12/6/2012,"Kirinyaga, Wanguru, Togonye Village, Kambori Seasonal Stream",1,,,,,,,,,,
KIRINYAGA,-0.511982367,37.30372319,DROUGHT,1/3/2012,Kirinyaga South,,,,,,,,,,,
KIRINYAGA,-0.511982367,37.30372319,DROUGHT,4/3/2011,Kirinyaga North,,,,,,,,,,,
KIRINYAGA,-0.511982367,37.30372319,DROUGHT,3/4/2011,Kirinyaga West,,,,,,,,,,,
KIRINYAGA,-0.511982367,37.30372319,FLOOD,5/13/2012,River Thiba,,,,,,,,,,,bridge swept away
KITUI,-0.509374552,38.02148437,FLOOD,1/1/2010,Mumoni,,,,,,,,,,,
KITUI,-0.509374552,38.02148437,FLOOD,1/1/2010,Bailey Brigde,,,,,,,,,,,washout of River Katse
KITUI,-0.509374552,38.02148437,FLOOD,1/1/2010,Kamuongo-Katooni road,,,,,,,,,,,
KITUI,-0.509374552,38.02148437,FLOOD,1/1/2010,Kamuongo- Kalatine- Kiambere road,,,,,,,,,,,
KITUI,-0.509374552,38.02148437,FLOOD,1/1/2010,Thua-Nguuku road,,,,,,,,,,,
KITUI,-0.509374552,38.02148437,FLOOD,1/1/2010,Katse detour,,,,,,,,,,,
KITUI,-0.509374552,38.02148437,DROUGHT,9/3/2011,,,,,,,,,,,,
KITUI,-0.509374552,38.02148437,DROUGHT,1/8/2009,,,,,,,,,,,,
